Field name,Reservoir unit,Country,Region,Tectonic regime,Onshore/offshore,Hydrocarbon type,Productive area,Period,Depositional system,Depositional environment,Lithology,Porosity type,Gross,Netpay,Porosity,Permeability,Structural setting,Trapping mechanism,Depth
LUCONIA F6,CYCLE IV-V,MALAYSIA,FAR EAST,INVERSION,OFFSHORE,GAS,40755.0,NEOGENE,ORGANIC BUILDUP,REEF-RIMMED SKELETAL BANK,LIMESTONE,MOLDIC/VUGGY,1295.7,,28.0,300.0,BACKARC,DEPOSITIONAL,975.6
LUGINETS,TYUMEN-NAUNAK,RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,137085.0,JURASSIC,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,91.5,61.0,17.0,20.0,INTRACRATONIC,FOLD,2320.1
LYANTOR,VARTOV (UNIT AC9-11),RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,382850.00000000006,CRETACEOUS,COASTAL,COASTAL PLAIN,SANDSTONE,PRIMARY INTERGRANULAR,,25.3,24.7,689.0,INTRACRATONIC,FOLD,2120.7
MABEE,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,31616.0,PERMIAN,HIGH-ENERGY CARBONATE SAND,SHELF-,DOLOMITE,INTERPARTICLE/MICRO-INTERCRYSTALLINE,122.0,15.2,10.5,8.0,FORELAND,DEPOSITIONAL,1426.8
MACHAR,TOR,UK,EUROPE,INVERSION,OFFSHORE,OIL,8768.5,CRETACEOUS,FORESLOPE,DEBRIS-FLOW,CHALK,INTERPARTICLE MICROPOROSITY,304.9,,22.0,,SALT,FOLD,1215.2
MACKEREL,LATROBE (L1 UNIT),AUSTRALIA,FAR EAST,INVERSION,OFFSHORE,OIL,28076.49,PALEOGENE,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,109.8,90.9,22.0,800.0,INVERSION,EROSIONAL,2205.8
MADURA MDA,PACIRAN (MADURA LIMESTONE),INDONESIA,FAR EAST,INVERSION,OFFSHORE,GAS,,NEOGENE,FORESLOPE,DEBRIS-FLOW,LIMESTONE,INTRAPARTICLE,,,30.0,10.0,INVERSION,FOLD,779.3
MAGNUS,KIMMERIDGE CLAY,UK,EUROPE,EXTENSION,OFFSHORE,OIL,20130.5,JURASSIC,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,,64.9,21.0,82.0,RIFT,EROSIONAL,2610.7
MAHOGANY (TRINIDAD),UNNAMED,TRINIDAD AND TOBAGO,LATIN AMERICA,GRAVITY,OFFSHORE,GAS,21983.0,NEOGENE,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,,,32.0,2400.0,FORELAND,FOLD,1737.8
MAHOGANY (USA),O-Q SANDS,USA,NORTH AMERICA,GRAVITY,OFFSHORE,OIL,6298.500000000001,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL LEVEE,LOW-RESISTIVITY SANDSTONE,PRIMARY INTERGRANULAR,457.3,89.9,29.0,1500.0,DELTA,FOLD,4044.2
MALAMPAYA,NIDO,PHILIPPINES,FAR EAST,INVERSION,OFFSHORE,GAS-CONDENSATE,18278.0,PALEOGENE-NEOGENE,ORGANIC BUILDUP,REEF MOUND,LIMESTONE,INTERPARTICLE,,,,,PASSIVE MARGIN,DEPOSITIONAL,1859.8
MALAY,SHATLYK,TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,ONSHORE,GAS,27911.0,CRETACEOUS,COASTAL,COASTAL PLAIN,SANDSTONE,PRIMARY INTERGRANULAR,,12.5,21.0,280.0,FORELAND,FOLD,2315.5
MALING,YANAN,CHINA,FAR EAST,COMPRESSION,ONSHORE,OIL,101640.5,JURASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,300.0,7.3,16.0,72.0,FORELAND,EROSIONAL,1151.2
MALOICH,M11,RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,44460.0,DEVONIAN,ORGANIC BUILDUP,REEF MOUND,DOLOMITE,VUGGY/CAVERNOUS,,20.1,10.0,0.8,INTRACRATONIC,EROSIONAL,2811.0
MALOSSA,DOLOMIA PRINCIPALE-ZANDOBBIO,ITALY,EUROPE,COMPRESSION,ONSHORE,GAS-CONDENSATE,6175.000000000001,TRIASSIC-JURASSIC,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,VUGGY,,,3.0,21.0,THRUST,FOLD,5106.1
MANSURI,ASMARI,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,40755.0,PALEOGENE-NEOGENE,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITIC LIMESTONE,INTERCRYSTALLINE,130.2,61.9,24.0,,FORELAND,FOLD,2162.8
MANSURI,ILAM,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,208715.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,100.0,64.9,13.0,0.8,FORELAND,FOLD,3113.1
MANSURI,SARVAK 1,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,214890.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,250.0,282.9,9.0,0.2,FORELAND,FOLD,3263.1
MANSURI,SARVAK 2,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,101270.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,192.7,110.1,9.0,,FORELAND,FOLD,3613.1
MARA,LA LUNA-COGOLLO,VENEZUELA,LATIN AMERICA,INVERSION,ONSHORE,OIL,,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,MOLDIC,533.5,,2.0,0.1,WRENCH,FAULT,1545.7
MARA,UNNAMED,VENEZUELA,LATIN AMERICA,INVERSION,ONSHORE,OIL,,PALEOZOIC,BASEMENT,NOT APPLICABLE,BASEMENT,FRACTURE,304.9,,1.0,0.1,WRENCH,FAULT,
MARIMBA,CARAPEBUS,BRAZIL,LATIN AMERICA,GRAVITY,OFFSHORE,OIL,11609.0,CRETACEOUS,DEEP MARINE,SUBMARINE CANYON,SANDSTONE,PRIMARY INTERGRANULAR,122.0,,27.0,1700.0,SALT,EROSIONAL,2140.2
MARKHAM,LEMAN SANDSTONE,UK /NETHERLANDS,EUROPE,INVERSION,OFFSHORE,GAS,32851.0,PERMIAN,DESERT,MIXED AEOLIAN,SANDSTONE,PRIMARY INTERGRANULAR,34.5,27.4,14.0,,INVERSION,FAULT,3325.0
MARKOVO,OSA,RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,18278.0,CAMBRIAN,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,VUGGY,67.4,,4.0,,RIFT,FOLD,2218.6
MARKOVO,PARFENOV,RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,GAS-CONDENSATE,79040.0,PROTEROZOIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,52.4,7.6,9.0,152.0,RIFT,FOLD,2620.7
MARLIM,CARAPEBUS,BRAZIL,LATIN AMERICA,GRAVITY,OFFSHORE,OIL,92773.2,PALEOGENE-NEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,45.7,45.7,28.5,2000.0,SALT,DEPOSITIONAL,1689.9
MARMUL,AL KHLATA,OMAN,MIDDLE EAST,GRAVITY,ONSHORE,OIL,76323.0,CARBONIFEROUS-PERMIAN,GLACIOGENIC,GLACIOFLUVIAL,SANDSTONE,PRIMARY INTERGRANULAR,,51.8,24.0,550.0,SALT,FOLD,823.2
MARS,NUMEROUS,USA,NORTH AMERICA,GRAVITY,OFFSHORE,OIL,16549.0,NEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,2164.6,134.1,27.0,,DELTA,EROSIONAL,3048.8
MASTAKH,KYZYLSYR,RUSSIA,FORMER SOVIET UNION,TRANSPRESSION,ONSHORE,GAS,34827.0,JURASSIC,FLUVIAL,MEANDERING RIVER,SANDSTONE,,274.4,7.0,20.0,95.0,PASSIVE MARGIN,FOLD,1715.5
MATZEN,HAUPTDOLOMITE (SCHONKIRCHEN UBERTIEF),AUSTRIA,EUROPE,COMPRESSION,ONSHORE,GAS,,TRIASSIC,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,FRACTURE,900.3,300.0,3.8,2.0,THRUST,FOLD,4701.2
MATZEN,HAUPTDOLOMITE-BOCKFLIESS BEDS,AUSTRIA,EUROPE,EXTENSION,ONSHORE,OIL,,TRIASSIC/CRETACEOUS/NEOGENE,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,VUGGY,189.9,,4.0,5.0,RIFT,FOLD,2720.7
MATZEN,MATZEN SAND,AUSTRIA,EUROPE,EXTENSION,ONSHORE,OIL,13426.92,NEOGENE,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,50.0,17.1,25.0,1400.0,RIFT,EROSIONAL,1234.8
MAUI,KAPUNI (C-D-F SANDS),NEW ZEALAND,FAR EAST,INVERSION,OFFSHORE,GAS-CONDENSATE,122067.4,PALEOGENE,COASTAL,SHOREFACE-SHELF,SANDSTONE,SECONDARY INTERGRANULAR,350.6,,25.0,200.0,WRENCH,FOLD,2570.7
MAUREEN,MAUREEN,UK,EUROPE,GRAVITY,OFFSHORE,OIL,10127.0,PALEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,,38.1,22.0,300.0,SALT,FOLD,2324.7
MAXI,SHAHEJIE (BANQIAO),CHINA,FAR EAST,EXTENSION,ONSHORE,OIL,4013.75,PALEOGENE,LACUSTRINE,SUBLACUSTRINE FAN,SANDSTONE,SECONDARY INTRAGRANULAR,230.2,25.3,13.6,11.0,RIFT,FOLD,3788.1
MAYDAN MAHZAM,ARAB C,QATAR,MIDDLE EAST,GRAVITY,OFFSHORE,OIL,21983.0,JURASSIC,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITE,INTERCRYSTALLINE,24.4,16.8,25.0,600.0,SALT,FOLD,2030.8
MAYDAN MAHZAM,ARAB D,QATAR,MIDDLE EAST,GRAVITY,OFFSHORE,OIL,21983.0,JURASSIC,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,INTERPARTICLE,39.6,36.6,25.0,500.0,SALT,FOLD,2059.5
MAYDAN MAHZAM,UWAINAT,QATAR,MIDDLE EAST,GRAVITY,OFFSHORE,OIL,21983.0,JURASSIC,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,INTERPARTICLE,51.8,,15.0,,SALT,FOLD,2388.7
MAYSDORF,UPPER MINNELUSA (A SAND),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,2766.4,PERMIAN,DESERT,MIXED AEOLIAN,SANDSTONE,PRIMARY INTERGRANULAR,30.5,6.4,13.3,155.0,FORELAND,DEPOSITIONAL,3218.0
MCALLEN RANCH,LOWER VICKSBURG,USA,NORTH AMERICA,GRAVITY,ONSHORE,GAS,34580.0,PALEOGENE,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,SECONDARY INTRAGRANULAR,91.5,42.7,16.0,0.6,DELTA,FOLD,2865.9
MCARTHUR RIVER,HEMLOCK CONGLOMERATE,USA,NORTH AMERICA,INVERSION,OFFSHORE,OIL,30628.0,PALEOGENE,FLUVIAL,BRAIDED RIVER,CONGLOMERATE,PRIMARY INTERGRANULAR,152.4,88.4,11.0,125.0,INVERSION,FOLD,2676.8
MCARTHUR RIVER,TYONEK (GRAYLING GAS SANDS),USA,NORTH AMERICA,INVERSION,OFFSHORE,GAS,30628.0,NEOGENE,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,,114.3,22.0,900.0,INVERSION,FOLD,872.0
MCELROY,GRAYBURG,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,83980.0,PERMIAN,LOW-ENERGY CARBONATE MUD,OPEN SHELF,DOLOMITE,MICRO-INTERCRYSTALLINE,122.0,30.5,9.0,5.0,FORELAND,FOLD,899.4
MEANS,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,35321.0,PERMIAN,HIGH-ENERGY CARBONATE SAND,SHELF-,DOLOMITE,INTERPARTICLE,72.3,45.7,10.0,10.0,FORELAND,FOLD,1295.7
MEDICINE HAT,MEDICINE HAT (A POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS,2891673.46,CRETACEOUS,COASTAL,SHOREFACE-SHELF,SILTSTONE,PRIMARY INTERGRANULAR,9.1,3.3,20.0,2.0,INTRACRATONIC,DEPOSITIONAL,397.9
MEDICINE POLE HILLS,RED RIVER,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,13436.8,ORDOVICIAN,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,INTERCRYSTALLINE,,5.5,16.0,6.9,INTRACRATONIC,FOLD,2874.7
MEDICINE RIVER,J2 SANDSTONE,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,5851.43,JURASSIC,COASTAL,ESTUARY,SANDSTONE,PRIMARY INTERGRANULAR,34.1,19.2,14.5,64.2,FORELAND,EROSIONAL,2097.6
MEDICINE RIVER,PEKISKO,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,21718.71,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,DOLOMITE,INTERCRYSTALLINE,50.3,13.0,11.0,38.0,FORELAND,EROSIONAL,2103.7
MEILLON,MEILLON-MANO,FRANCE,EUROPE,COMPRESSION,ONSHORE,GAS,,JURASSIC,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITE,VUGGY/INTERCRYSTALLINE,396.3,,3.0,0.2,FORELAND,FAULT,4314.0
MELEIHA,BAHARIYA,EGYPT,AFRICA,EXTENSION,ONSHORE,OIL,8027.500000000001,CRETACEOUS,COASTAL,TIDAL FLAT,SANDSTONE,PRIMARY INTERGRANULAR,274.4,,21.0,120.0,PASSIVE MARGIN,FAULT,1532.0
MENE GRANDE,ISNOTU,VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,75088.0,NEOGENE,FLUVIAL,MEANDERING RIVER,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,426.8,30.5,30.0,1000.0,FORELAND,FAULT,336.6
MENE GRANDE,MISOA-PAUJI,VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,75088.0,PALEOGENE,COASTAL,DELTA,SANDSTONE,PRIMARY INTERGRANULAR,,,12.0,1.0,FORELAND,FAULT,
MENGKAPAN,LOWER SIHAPAS,INDONESIA,FAR EAST,INVERSION,ONSHORE,OIL,1852.5,NEOGENE,COASTAL,DELTA,SANDSTONE,PRIMARY INTERGRANULAR,198.2,53.4,22.5,,WRENCH,FOLD,1105.2
MENSA,I SAND,USA,NORTH AMERICA,GRAVITY,OFFSHORE,GAS,7992.920000000001,NEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,,,31.0,1000.0,SALT,FOLD,3079.3
MEREENIE,PACOOTA,AUSTRALIA,FAR EAST,COMPRESSION,ONSHORE,OIL,103740.0,CAMBRIAN-ORDOVICIAN,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,320.1,,8.0,10.0,THRUST,FOLD,1137.2
MEREN,AGBADA,NIGERIA,AFRICA,GRAVITY,OFFSHORE,OIL,9880.0,NEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,,91.5,29.0,1200.0,DELTA,FOLD,1435.4
MESCALERO ESCARPE,BONE SPRING,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,,PERMIAN,FORESLOPE,DEBRIS-FLOW,DOLOMITE,VUGGY/MOLDIC,,9.1,5.8,,FORELAND,DEPOSITIONAL,2585.4
MESSLAH,SARIR,LIBYA,AFRICA,EXTENSION,ONSHORE,OIL,129922.0,CRETACEOUS,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,122.0,25.9,17.0,252.0,RIFT,EROSIONAL,2629.6
MESSOYAKH,DOLGAN (POKUR),RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,METHANE HYDRATE,101270.0,CRETACEOUS,COASTAL,DELTA,SANDSTONE,PRIMARY INTERGRANULAR,750.0,20.1,25.0,125.0,INTRACRATONIC,FLUIDIC,840.2
MIDALE,CHARLES (MIDALE BEDS),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,75285.6,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,DOLOMITE,INTERCRYSTALLINE/INTERPARTICLE,19.5,9.8,20.0,3.5,INTRACRATONIC,EROSIONAL,1341.5
MIDGARD,FANGST,NORWAY,EUROPE,EXTENSION,OFFSHORE,GAS,28652.0,JURASSIC,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,139.9,115.9,27.5,5625.0,RIFT,EROSIONAL,1975.6
MIDWAY-SUNSET,MONTEREY,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,53920.10000000001,NEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,,,33.0,1000.0,WRENCH,FOLD,213.4
MILK RIVER GAS POOL,MILK RIVER,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS,10682750.0,CRETACEOUS,COASTAL,SHOREFACE-SHELF,SILTSTONE,PRIMARY INTERGRANULAR,76.2,6.1,14.0,1.0,INTRACRATONIC,DEPOSITIONAL,300.0
MILLER,BRAE,UK,EUROPE,EXTENSION,OFFSHORE,OIL,27664.0,JURASSIC,DEEP MARINE,SUBMARINE FAN LOBE,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,230.2,,16.0,120.0,INVERSION,DEPOSITIONAL,3872.0
MILLS RANCH,HUNTON (CHIMNEY HILL-HENRYHOUSE),USA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS,16055.0,SILURIAN,LOW-ENERGY CARBONATE MUD,OPEN SHELF,DOLOMITE,INTERCRYSTALLINE,283.5,28.7,6.0,7.0,THRUST,FOLD,6063.4
MINAGISH,MINAGISH OOLITE,KUWAIT,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,36617.75,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,INTERPARTICLE,122.0,,20.0,100.0,FORELAND,FOLD,2926.8
MINAS,BEKASAP,INDONESIA,FAR EAST,INVERSION,ONSHORE,OIL,150670.0,NEOGENE,COASTAL,TIDE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,182.9,61.0,26.0,500.0,INVERSION,FOLD,597.6
MIRANGA,MARFIM-POJUCA,BRAZIL,LATIN AMERICA,EXTENSION,ONSHORE,OIL,15437.5,CRETACEOUS,LACUSTRINE,LACUSTRINE FAN-DELTA,SANDSTONE,SECONDARY INTERGRANULAR,,,,,RIFT,FOLD,679.9
MISKAR,ABIOD,TUNISIA,AFRICA,INVERSION,OFFSHORE,GAS,20254.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,CHALK,CHALKY MICROPOROSITY,74.4,58.8,25.0,1.0,RIFT,FAULT,2808.8
MISKAR,ALEG (BIRENO),TUNISIA,AFRICA,INVERSION,OFFSHORE,GAS-CONDENSATE,20254.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,39.0,14.9,13.0,0.1,RIFT,FAULT,3262.8
MISKAR,ALEG (R1 INFERIOR),TUNISIA,AFRICA,INVERSION,OFFSHORE,GAS,20254.0,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,INTERPARTICLE,25.9,22.9,14.0,5.0,RIFT,FAULT,3038.7
MISKAR,ALEG (R1 SUPERIOR),TUNISIA,AFRICA,INVERSION,OFFSHORE,GAS,20254.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,68.0,7.9,11.0,0.1,RIFT,FAULT,2963.7
MITSUE,WATT MOUNTAIN (GILWOOD A),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,345800.0,DEVONIAN,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,SECONDARY INTRAGRANULAR,24.4,4.0,13.0,230.0,FORELAND,DEPOSITIONAL,1737.8
MITTELPLATE,DOGGER,GERMANY,EUROPE,GRAVITY,OFFSHORE,OIL,3383.9,JURASSIC,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,600.3,,25.0,1000.0,SALT,FOLD,1960.4
MOONIE,PRECIPICE,AUSTRALIA,FAR EAST,COMPRESSION,ONSHORE,OIL,6710.9900000000025,JURASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,76.2,14.0,18.0,460.0,FORELAND,FOLD,1734.1
MORAN,BARAIL,INDIA,FAR EAST,INVERSION,ONSHORE,OIL,,PALEOGENE,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,450.0,,18.0,,FORELAND,FOLD,3800.9
MOXA ARCH-LA BARGE,FRONTIER (TIP TOP FIELD),USA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS,78546.0,CRETACEOUS,COASTAL,WAVE-DOMINATED DELTA,SANDSTONE,MICROPOROSITY,335.4,27.4,13.0,0.1,FORELAND,FOLD,2134.1
MOXA ARCH-LA BARGE,NUGGET (TIP TOP FIELD),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,3112.2,TRIASSIC-JURASSIC,DESERT,ERG,SANDSTONE,PRIMARY INTERGRANULAR,158.5,25.3,14.0,,FORELAND,FOLD,2500.0
MURAVLENKOV,MEGION,RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,156845.0,CRETACEOUS,COASTAL,COASTAL PLAIN,SANDSTONE,PRIMARY INTERGRANULAR,450.0,31.1,18.5,45.0,INTRACRATONIC,FOLD,2560.7
MURCHISON,BRENT,UK /NORWAY,EUROPE,EXTENSION,OFFSHORE,OIL,10374.0,JURASSIC,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,129.6,91.5,22.0,750.0,RIFT,EROSIONAL,2740.2
MUSPAC,UNNAMED,MEXICO,LATIN AMERICA,COMPRESSION,ONSHORE,GAS-CONDENSATE,11609.0,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,DOLOMITIC LIMESTONE,CAVERNOUS/MOLDIC,148.2,,10.0,70.0,FORELAND,FOLD,2649.4
NAFT KHANEH-NAFT SHAHR,KALFUR/JERIBE/ASMARI,IRAQ-IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,15259.66,NEOGENE,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,LIMESTONE,INTERPARTICLE,76.2,,,5.0,FORELAND,FOLD,712.8
NAGYLENGYEL,MAIN DOLOMITE (HAUPTDOLOMITE),HUNGARY,EUROPE,INVERSION,ONSHORE,OIL,,TRIASSIC,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITE,VUGGY/CAVERNOUS,,,1.4,,BACKARC,EROSIONAL,1981.7
NAGYLENGYEL,UGOD,HUNGARY,EUROPE,INVERSION,ONSHORE,OIL,,CRETACEOUS,ORGANIC BUILDUP,REEF MOUND,LIMESTONE,CAVERNOUS/CHANNEL,396.3,,2.1,,BACKARC,EROSIONAL,1554.9
NAHORKATIYA,BARAIL,INDIA,FAR EAST,INVERSION,ONSHORE,OIL,28652.0,PALEOGENE,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,225.0,100.0,21.4,,FORELAND,FOLD,3300.6
NAMORADO,NAMORADO,BRAZIL,LATIN AMERICA,GRAVITY,OFFSHORE,OIL,14079.0,CRETACEOUS,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,61.0,,26.0,300.0,SALT,DEPOSITIONAL,2762.2
NASSER,ZELTEN,LIBYA,AFRICA,EXTENSION,ONSHORE,OIL,128440.0,PALEOGENE,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,VUGGY/MOLDIC,91.5,36.6,22.0,1500.0,RIFT,FOLD,1655.5
NATIH,NATIH,OMAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,,CRETACEOUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,403.7,133.8,19.0,2.6,SALT,FOLD,741.8
NATUNA L,TERUMBU,INDONESIA,FAR EAST,EXTENSION,OFFSHORE,CARBON DIOXIDE,195130.0,NEOGENE,ORGANIC BUILDUP,REEF MOUND,LIMESTONE,MOLDIC/INTERPARTICLE,1626.5,907.3,15.0,100.0,BACKARC,DEPOSITIONAL,2505.5
NEFT DASHLARY,PRODUCTIVE SERIES (PRE-KIRMAKY SUITE),AZERBAIJAN,FORMER SOVIET UNION,COMPRESSION,OFFSHORE,OIL,19592.04,NEOGENE,LACUSTRINE,LACUSTRINE RIVER-DELTA,SANDSTONE,PRIMARY INTERGRANULAR,100.6,,21.0,500.0,THRUST,FOLD,914.6
NELSON,FORTIES (SELE),UK,EUROPE,INVERSION,OFFSHORE,OIL,30875.0,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,78.0,,23.0,200.0,INVERSION,FOLD,2110.4
NEWBURG,CHARLES,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,23909.6,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,SABKHA,DOLOMITIC LIMESTONE,INTERCRYSTALLINE,36.6,5.4,10.0,2.6,INTRACRATONIC,EROSIONAL,1009.1
NEWBURG,SPEARFISH,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,23909.6,TRIASSIC,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,36.6,5.4,14.0,13.5,INTRACRATONIC,EROSIONAL,1009.1
NIAGARAN REEF TREND,NIAGARA (GUELPH),USA,NORTH AMERICA,STRIKE-SLIP,ONSHORE,OIL,,SILURIAN,ORGANIC BUILDUP,PINNACLE REEF,DOLOMITIC LIMESTONE,INTERCRYSTALLINE,122.0,30.5,8.0,8.0,INTRACRATONIC,DEPOSITIONAL,792.7
NIDO,NIDO,PHILIPPINES,FAR EAST,INVERSION,OFFSHORE,OIL,,NEOGENE,ORGANIC BUILDUP,PINNACLE REEF,LIMESTONE,MOLDIC/VUGGY,620.4,,3.0,1.0,PASSIVE MARGIN,DEPOSITIONAL,1951.2
