Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
IAGIFU-HEDINIA,TORO,PAPUA NEW GUINEA,FAR EAST,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,THRUST,100.0,91.5,13.0,600.0,1550.0
IDD EL SHARGI NORTH DOME,SHUAIBA,QATAR,MIDDLE EAST,GRAVITY,OIL,CRETACEOUS,LOW-ENERGY CARBONATE MUD,CHALKY LIMESTONE,FOLD,SALT,100.0,78.0,25.0,3.0,1335.7
INDEFATIGABLE,LEMAN SANDSTONE,UK,EUROPE,INVERSION,GAS,PERMIAN,DESERT,SANDSTONE,FAULT,SUB-SALT,61.0,60.1,15.0,30.0,2256.1
JAMESON,COOK,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,DEEP MARINE,THINLY-BEDDED SANDSTONE,EROSIONAL,FORELAND,45.7,10.7,12.0,35.0,1737.8
JAY,SMACKOVER,USA,NORTH AMERICA,GRAVITY,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,DOLOMITE,DEPOSITIONAL,SUB-SALT,106.7,30.5,14.0,35.0,4663.1
JINGBIAN,MAJIAGOU-5,CHINA,FAR EAST,COMPRESSION,GAS,ORDOVICIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,EROSIONAL,FORELAND,45.7,14.3,5.6,3.0,2987.8
JOFFRE,VIKING,CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,35.1,3.0,13.2,190.0,1500.3
JOLLIET,GG-KS SANDS,USA,NORTH AMERICA,GRAVITY,OIL,NEOGENE,DEEP MARINE,SANDSTONE,FOLD,SUB-THRUST,1128.0,84.5,27.0,288.0,1292.7
JONAH,LANCE,USA,NORTH AMERICA,COMPRESSION,GAS,CRETACEOUS,FLUVIAL,SANDSTONE,FAULT,FORELAND,1067.1,128.0,10.0,0.1,2317.1
JUDY CREEK,SWAN HILLS (JUDY CREEK A POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,70.1,18.3,9.0,45.0,2603.7
JULY,LOWER RUDEIS,EGYPT,AFRICA,EXTENSION,OIL,NEOGENE,DEEP MARINE,SANDSTONE,FAULT,SUB-SALT,274.4,157.9,18.0,160.0,2382.6
JULY,NUBIA C,EGYPT,AFRICA,EXTENSION,OIL,CAMBRIAN-ORDOVICIAN/CARBONIFEROUS,FLUVIAL,SANDSTONE,FAULT,RIFT,457.3,207.0,20.0,50.0,2850.6
JUMPING POUND,TURNER VALLEY,CANADA,NORTH AMERICA,COMPRESSION,GAS,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,SUB-THRUST,76.2,42.7,8.3,4.0,2469.5
JUMPING POUND WEST,TURNER VALLEY,CANADA,NORTH AMERICA,COMPRESSION,GAS,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,SUB-THRUST,243.9,36.0,6.3,3.2,3009.1
KADI NORTH,KALOL,INDIA,FAR EAST,INVERSION,OIL,PALEOGENE,COASTAL,SANDSTONE,FOLD,RIFT,150.0,6.4,30.0,4000.0,956.1
KARACHAGANAK,UNNAMED,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,GAS-CONDENSATE,DEVONIAN-PERMIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,SUB-SALT,2012.2,792.7,10.0,8.0,3618.9
KARAZHANBAS,UNITS A-E,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,WRENCH,41.2,18.0,28.0,240.0,231.1
KASIM,KAIS,INDONESIA,FAR EAST,COMPRESSION,OIL,NEOGENE,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,171.0,37.5,21.0,38.0,928.0
KATNOOK,PRETTY HILL (SANDSTONE),AUSTRALIA,FAR EAST,INVERSION,GAS,CRETACEOUS,FLUVIAL,SANDSTONE,FAULT,RIFT,67.4,18.9,14.5,8.6,2831.1
KATY,YEGUA,USA,NORTH AMERICA,GRAVITY,GAS-CONDENSATE,PALEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,411.6,102.1,28.0,275.0,1911.6
KAYBOB,SWAN HILLS,CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,78.4,17.1,7.4,24.0,2905.5
KELA-2,BASHJICHK,CHINA,FAR EAST,COMPRESSION,GAS,CRETACEOUS,LACUSTRINE,SANDSTONE,FOLD,SUB-SALT,289.6,201.2,12.8,515.0,3481.7
KELAMAYI,KELAMAYI,CHINA,FAR EAST,COMPRESSION,OIL,TRIASSIC,FLUVIAL,CONGLOMERATE,DEPOSITIONAL,THRUST,228.7,13.1,18.0,279.0,1859.8
KEMNITZ,HUECO,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,36.6,18.3,9.0,9.0,3201.2
KF,LOWER GABUS,INDONESIA,FAR EAST,INVERSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FOLD,INVERSION,457.3,9.5,21.0,85.0,716.5
KG,GABUS-KERAS-BARAT-PASIR-ARANG,INDONESIA,FAR EAST,INVERSION,OIL,PALEOGENE-NEOGENE,FLUVIAL,SANDSTONE,FOLD,INVERSION,1768.3,57.3,23.0,180.0,792.7
KHAFJI,BURGAN,NEUTRAL ZONE,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,FORELAND,198.2,100.3,28.0,4500.0,1440.5
KHAFJI,RATAWI LIMESTONE,NEUTRAL ZONE,MIDDLE EAST,INVERSION,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,167.7,52.7,22.0,17.0,2080.8
KHALDA,LOWER BAHARIYA,EGYPT,AFRICA,EXTENSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,FOLD,PASSIVE MARGIN,30.5,10.7,20.5,70.0,1783.5
KINABALU,STAGES IVD-IVF (KINABALU MAIN),MALAYSIA,FAR EAST,GRAVITY,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,1631.1,447.0,22.0,280.0,1545.7
KITTY,MUDDY,USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,FLUVIAL,SHALY SANDSTONE,EROSIONAL,FORELAND,24.4,3.7,10.0,15.0,2637.2
KOROBKOV,BOBRIKOV B2,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,COASTAL,SANDSTONE,FOLD,FORELAND,20.1,10.1,20.0,460.0,1768.3
KOROBKOV,MAIN CARBONATE COMPLEX,RUSSIA,FORMER SOVIET UNION,COMPRESSION,GAS,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,118.9,33.5,5.4,200.0,1341.5
KOROLEV,NUMEROUS,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS-PERMIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,SUB-SALT,1067.1,457.3,6.0,6.0,3886.0
KOROLEV,UNNAMED,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,SALT,22.0,7.9,26.0,48.0,523.2
KOTABATAK,BEKASAP (A SAND),INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,INVERSION,106.7,61.0,17.0,393.0,1265.2
KOVYKTA,PARFENOV,RUSSIA,FORMER SOVIET UNION,COMPRESSION,GAS,PROTEROZOIC,COASTAL,SANDSTONE,FAULT,INTRACRATONIC,61.0,14.9,16.0,5.0,1219.5
KULESHOV,A3,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,COASTAL,SANDSTONE,FOLD,FORELAND,21.3,14.0,20.0,177.0,1605.5
KULESHOV,A4,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,100.6,22.9,18.0,195.0,1640.5
KUPARUK RIVER,KUPARUK RIVER (UNIT C),USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,EROSIONAL,FORELAND,10.7,6.1,24.0,138.0,1713.4
KURTEN,WOODBINE-EAGLEFORD,USA,NORTH AMERICA,GRAVITY,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,PASSIVE MARGIN,91.5,7.3,9.3,0.6,2420.7
LAGOA PARDA,LAGOA PARDA (URUCUTUCA),BRAZIL,LATIN AMERICA,EXTENSION,OIL,PALEOGENE,DEEP MARINE,SANDSTONE,EROSIONAL,PASSIVE MARGIN,650.3,22.0,23.0,350.0,1476.5
LAKE CREEK,WILCOX (G SAND),USA,NORTH AMERICA,GRAVITY,GAS,PALEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,88.4,21.3,11.0,0.4,3502.1
LAMA,COGOLLO,VENEZUELA,LATIN AMERICA,STRIKE-SLIP,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,WRENCH,365.9,61.0,3.0,0.1,3780.5
LAMA,SANTA BARBARA,VENEZUELA,LATIN AMERICA,STRIKE-SLIP,OIL,NEOGENE,COASTAL,SANDSTONE,FAULT,WRENCH,18.3,10.1,25.0,400.0,2134.1
LANWA,KALOL,INDIA,FAR EAST,INVERSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,EROSIONAL,RIFT,45.1,10.1,30.0,5000.0,875.9
LAOJUNMIAO,BAIYANGHE (GANYOUQUAN K SAND),CHINA,FAR EAST,COMPRESSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FOLD,THRUST,64.0,13.1,21.0,237.0,102.1
LAOJUNMIAO,BAIYANGHE (JIANQUANZI L SAND),CHINA,FAR EAST,COMPRESSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FOLD,THRUST,54.9,11.9,23.0,619.0,415.2
LAOJUNMIAO,BAIYANGHE (JIANQUANZI M SAND),CHINA,FAR EAST,COMPRESSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FOLD,THRUST,64.0,25.0,17.8,24.0,467.1
LISBON,LEADVILLE (REDWALL),USA,NORTH AMERICA,GRAVITY,OIL,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITE,FAULT,INTRACRATONIC,131.1,68.6,5.5,22.0,2222.6
LISBURNE,WAHOO (LISBURNE),USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,EROSIONAL,FORELAND,213.4,30.5,10.0,1.0,2561.0
LITTLE BOW,GLAUCONITE (G-U-W POOLS),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,FORELAND,20.1,6.1,22.0,800.0,1140.2
LITTLE CREEK,LOWER TUSCALOOSA,USA,NORTH AMERICA,GRAVITY,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,EROSIONAL,PASSIVE MARGIN,12.2,9.1,24.0,100.0,3176.8
LITTLE KNIFE,MISSION CANYON (MADISON),USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITE,DEPOSITIONAL,INTRACRATONIC,141.8,7.3,14.0,30.0,2949.1
LITTLE SAND DRAW,PHOSPHORIA (ERVAY),USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,FORELAND,30.5,19.8,15.0,2.6,1792.7
LIUBEI,WUMISHAN,CHINA,FAR EAST,EXTENSION,OIL,PROTEROZOIC,LOW-ENERGY CARBONATE MUD,DOLOMITE,EROSIONAL,RIFT,238.1,116.2,3.2,5.4,3210.7
LIUHUA 11-1,ZHUJIANG,CHINA,FAR EAST,EXTENSION,OIL,NEOGENE,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,PASSIVE MARGIN,476.2,39.9,25.0,651.0,861.3
LLOYDMINSTER AREA,SPARKY,CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,17.7,10.1,30.0,2000.0,579.3
LLOYDMINSTER AREA,WASECA,CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,FORELAND,27.4,15.2,34.0,2000.0,579.3
LOBSTER,BULMINELLA 1 SAND,USA,NORTH AMERICA,GRAVITY,OIL,NEOGENE,DEEP MARINE,SANDSTONE,FAULT,DELTA,140.2,45.7,24.0,900.0,2461.9
LOCKHART CROSSING,WILCOX (1ST WILCOX SAND),USA,NORTH AMERICA,GRAVITY,OIL,PALEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,41.2,7.9,20.0,35.0,3073.8
LOST SOLDIER,TENSLEEP,USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,DESERT,SANDSTONE,FOLD,THRUST,182.9,64.0,9.9,31.0,1158.5
LUCKEY DITCH,DAKOTA SANDSTONE (LOWER MEMBER),USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,DIAGENETIC,FORELAND,76.2,7.0,14.0,60.0,4039.6
LUGINETS,TYUMEN-NAUNAK,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,JURASSIC,COASTAL,SANDSTONE,FOLD,INTRACRATONIC,91.5,61.0,17.0,20.0,2320.1
MABEE,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,DEPOSITIONAL,FORELAND,122.0,15.2,10.5,8.0,1426.8
MACKEREL,LATROBE (L1 UNIT),AUSTRALIA,FAR EAST,INVERSION,OIL,PALEOGENE,COASTAL,SANDSTONE,EROSIONAL,INVERSION,109.8,90.9,22.0,800.0,2205.8
MAHOGANY (USA),O-Q SANDS,USA,NORTH AMERICA,GRAVITY,OIL,NEOGENE,DEEP MARINE,LOW-RESISTIVITY SANDSTONE,FOLD,DELTA,457.3,89.9,29.0,1500.0,4044.2
MALING,YANAN,CHINA,FAR EAST,COMPRESSION,OIL,JURASSIC,FLUVIAL,SANDSTONE,EROSIONAL,FORELAND,300.0,7.3,16.0,72.0,1151.2
MANSURI,ILAM,IRAN,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,LOW-ENERGY CARBONATE MUD,CHALKY LIMESTONE,FOLD,FORELAND,100.0,64.9,13.0,0.8,3113.1
MANSURI,SARVAK 1,IRAN,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,LOW-ENERGY CARBONATE MUD,CHALKY LIMESTONE,FOLD,FORELAND,250.0,282.9,9.0,0.2,3263.1
MARKOVO,PARFENOV,RUSSIA,FORMER SOVIET UNION,COMPRESSION,GAS-CONDENSATE,PROTEROZOIC,COASTAL,SANDSTONE,FOLD,RIFT,52.4,7.6,9.0,152.0,2620.7
MARLIM,CARAPEBUS,BRAZIL,LATIN AMERICA,GRAVITY,OIL,PALEOGENE-NEOGENE,DEEP MARINE,SANDSTONE,DEPOSITIONAL,SALT,45.7,45.7,28.5,2000.0,1689.9
MASTAKH,KYZYLSYR,RUSSIA,FORMER SOVIET UNION,TRANSPRESSION,GAS,JURASSIC,FLUVIAL,SANDSTONE,FOLD,PASSIVE MARGIN,274.4,7.0,20.0,95.0,1715.5
MATZEN,HAUPTDOLOMITE (SCHONKIRCHEN UBERTIEF),AUSTRIA,EUROPE,COMPRESSION,GAS,TRIASSIC,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,THRUST,900.3,300.0,3.8,2.0,4701.2
MATZEN,MATZEN SAND,AUSTRIA,EUROPE,EXTENSION,OIL,NEOGENE,COASTAL,SANDSTONE,EROSIONAL,RIFT,50.0,17.1,25.0,1400.0,1234.8
MAXI,SHAHEJIE (BANQIAO),CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,LACUSTRINE,SANDSTONE,FOLD,RIFT,230.2,25.3,13.6,11.0,3788.1
MAYDAN MAHZAM,ARAB C,QATAR,MIDDLE EAST,GRAVITY,OIL,JURASSIC,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,SALT,24.4,16.8,25.0,600.0,2030.8
MAYDAN MAHZAM,ARAB D,QATAR,MIDDLE EAST,GRAVITY,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,39.6,36.6,25.0,500.0,2059.5
MAYSDORF,UPPER MINNELUSA (A SAND),USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,DESERT,SANDSTONE,DEPOSITIONAL,FORELAND,30.5,6.4,13.3,155.0,3218.0
MCALLEN RANCH,LOWER VICKSBURG,USA,NORTH AMERICA,GRAVITY,GAS,PALEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,91.5,42.7,16.0,0.6,2865.9
MCARTHUR RIVER,HEMLOCK CONGLOMERATE,USA,NORTH AMERICA,INVERSION,OIL,PALEOGENE,FLUVIAL,CONGLOMERATE,FOLD,INVERSION,152.4,88.4,11.0,125.0,2676.8
MCELROY,GRAYBURG,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,FORELAND,122.0,30.5,9.0,5.0,899.4
MEANS,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,FORELAND,72.3,45.7,10.0,10.0,1295.7
MEDICINE HAT,MEDICINE HAT (A POOL),CANADA,NORTH AMERICA,COMPRESSION,GAS,CRETACEOUS,COASTAL,SILTSTONE,DEPOSITIONAL,INTRACRATONIC,9.1,3.3,20.0,2.0,397.9
MEDICINE RIVER,J2 SANDSTONE,CANADA,NORTH AMERICA,COMPRESSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,FORELAND,34.1,19.2,14.5,64.2,2097.6
MEDICINE RIVER,PEKISKO,CANADA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,DOLOMITE,EROSIONAL,FORELAND,50.3,13.0,11.0,38.0,2103.7
MENE GRANDE,ISNOTU,VENEZUELA,LATIN AMERICA,COMPRESSION,OIL,NEOGENE,FLUVIAL,THINLY-BEDDED SANDSTONE,FAULT,FORELAND,426.8,30.5,30.0,1000.0,336.6
MESSLAH,SARIR,LIBYA,AFRICA,EXTENSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,EROSIONAL,RIFT,122.0,25.9,17.0,252.0,2629.6
MESSOYAKH,DOLGAN (POKUR),RUSSIA,FORMER SOVIET UNION,COMPRESSION,METHANE HYDRATE,CRETACEOUS,COASTAL,SANDSTONE,FLUIDIC,INTRACRATONIC,750.0,20.1,25.0,125.0,840.2
MIDALE,CHARLES (MIDALE BEDS),CANADA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,DOLOMITE,EROSIONAL,INTRACRATONIC,19.5,9.8,20.0,3.5,1341.5
MIDGARD,FANGST,NORWAY,EUROPE,EXTENSION,GAS,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,139.9,115.9,27.5,5625.0,1975.6
MILK RIVER GAS POOL,MILK RIVER,CANADA,NORTH AMERICA,COMPRESSION,GAS,CRETACEOUS,COASTAL,SILTSTONE,DEPOSITIONAL,INTRACRATONIC,76.2,6.1,14.0,1.0,300.0
MILLS RANCH,HUNTON (CHIMNEY HILL-HENRYHOUSE),USA,NORTH AMERICA,COMPRESSION,GAS,SILURIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,THRUST,283.5,28.7,6.0,7.0,6063.4
MINAS,BEKASAP,INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,INVERSION,182.9,61.0,26.0,500.0,597.6
MISKAR,ABIOD,TUNISIA,AFRICA,INVERSION,GAS,CRETACEOUS,LOW-ENERGY CARBONATE MUD,CHALK,FAULT,RIFT,74.4,58.8,25.0,1.0,2808.8
MISKAR,ALEG (BIRENO),TUNISIA,AFRICA,INVERSION,GAS-CONDENSATE,CRETACEOUS,LOW-ENERGY CARBONATE MUD,CHALKY LIMESTONE,FAULT,RIFT,39.0,14.9,13.0,0.1,3262.8
MISKAR,ALEG (R1 INFERIOR),TUNISIA,AFRICA,INVERSION,GAS,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FAULT,RIFT,25.9,22.9,14.0,5.0,3038.7
MISKAR,ALEG (R1 SUPERIOR),TUNISIA,AFRICA,INVERSION,GAS,CRETACEOUS,LOW-ENERGY CARBONATE MUD,CHALKY LIMESTONE,FAULT,RIFT,68.0,7.9,11.0,0.1,2963.7
MITSUE,WATT MOUNTAIN (GILWOOD A),CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,24.4,4.0,13.0,230.0,1737.8
MOONIE,PRECIPICE,AUSTRALIA,FAR EAST,COMPRESSION,OIL,JURASSIC,FLUVIAL,SANDSTONE,FOLD,FORELAND,76.2,14.0,18.0,460.0,1734.1
MOXA ARCH-LA BARGE,FRONTIER (TIP TOP FIELD),USA,NORTH AMERICA,COMPRESSION,GAS,CRETACEOUS,COASTAL,SANDSTONE,FOLD,FORELAND,335.4,27.4,13.0,0.1,2134.1
MURAVLENKOV,MEGION,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,INTRACRATONIC,450.0,31.1,18.5,45.0,2560.7
MURCHISON,BRENT,UK /NORWAY,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,129.6,91.5,22.0,750.0,2740.2
NASSER,ZELTEN,LIBYA,AFRICA,EXTENSION,OIL,PALEOGENE,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,RIFT,91.5,36.6,22.0,1500.0,1655.5
NATIH,NATIH,OMAN,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,LOW-ENERGY CARBONATE MUD,CHALKY LIMESTONE,FOLD,SALT,403.7,133.8,19.0,2.6,741.8
NATUNA L,TERUMBU,INDONESIA,FAR EAST,EXTENSION,CARBON DIOXIDE,NEOGENE,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,BACKARC,1626.5,907.3,15.0,100.0,2505.5
NEWBURG,CHARLES,USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITIC LIMESTONE,EROSIONAL,INTRACRATONIC,36.6,5.4,10.0,2.6,1009.1
NEWBURG,SPEARFISH,USA,NORTH AMERICA,COMPRESSION,OIL,TRIASSIC,COASTAL,SANDSTONE,EROSIONAL,INTRACRATONIC,36.6,5.4,14.0,13.5,1009.1
NIAGARAN REEF TREND,NIAGARA (GUELPH),USA,NORTH AMERICA,STRIKE-SLIP,OIL,SILURIAN,ORGANIC BUILDUP,DOLOMITIC LIMESTONE,DEPOSITIONAL,INTRACRATONIC,122.0,30.5,8.0,8.0,792.7
NINIAN,BRENT,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,91.5,61.0,20.0,500.0,2585.4
NIPISI,WATT MOUNTAIN (GILWOOD A POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,30.5,4.3,13.5,250.0,1676.8
NORMAN WELLS,RAMPARTS (KEE SCARP),CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,ORGANIC BUILDUP,CHALKY LIMESTONE,DEPOSITIONAL,THRUST,129.6,74.1,8.4,4.0,350.0
NORTH ANDERSON RANCH,HUECO,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,36.6,10.7,9.0,124.0,2926.8
NORTH BURBANK,BURBANK,USA,NORTH AMERICA,INVERSION,OIL,CARBONIFEROUS,COASTAL,SANDSTONE,EROSIONAL,FORELAND,27.4,14.3,16.8,50.0,920.7
NORTH HAYNESVILLE,SMACKOVER,USA,NORTH AMERICA,GRAVITY,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FAULT,SALT,76.2,11.6,11.0,61.0,3728.4
NORTH ROBERTSON,CLEARFORK-GLORIETA,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,DEPOSITIONAL,FORELAND,396.3,122.0,4.0,0.4,1768.3
NORTH SABINE LAKE,LOWER HACKBERRY (FRIO),USA,NORTH AMERICA,GRAVITY,GAS-CONDENSATE,PALEOGENE,DEEP MARINE,SHALY SANDSTONE,EROSIONAL,DELTA,80.8,39.6,26.0,425.0,3335.4
NORTH WARD-ESTES,YATES,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,COASTAL,SILTSTONE,DEPOSITIONAL,FORELAND,91.5,30.5,11.0,16.0,792.7
NORTHEAST CEDARDALE,HUNTON (HARAGAN),USA,NORTH AMERICA,COMPRESSION,GAS,DEVONIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,EROSIONAL,FORELAND,76.2,11.6,16.0,20.0,2522.9
NUMBI,VERMELHA,ANGOLA,AFRICA,GRAVITY,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,PASSIVE MARGIN,137.2,45.7,24.0,500.0,934.5
OCTOBER,NUBIA (MAIN FIELD AREA),EGYPT,AFRICA,EXTENSION,OIL,PALEOZOIC-CRETACEOUS,FLUVIAL,SANDSTONE,FAULT,SUB-SALT,701.2,137.2,17.0,236.0,3167.1
ODOPTU-MORE,LOWER NUTOVO (XII-XX IV),RUSSIA,FORMER SOVIET UNION,STRIKE-SLIP,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,INVERSION,750.0,67.1,20.0,45.0,1073.2
ORENBURG,UNNAMED,RUSSIA,FORMER SOVIET UNION,COMPRESSION,GAS,CARBONIFEROUS-PERMIAN,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SUB-SALT,414.6,171.6,11.0,2.0,1290.2
ORIBI,14A SEQUENCE,SOUTH AFRICA,AFRICA,EXTENSION,OIL,CRETACEOUS,DEEP MARINE,SANDSTONE,EROSIONAL,RIFT,35.1,29.9,18.0,500.0,2227.4
ORMEN LANGE,JORSALFARE-VALE (EGGA),NORWAY,EUROPE,INVERSION,GAS,CRETACEOUS-PALEOGENE,DEEP MARINE,SANDSTONE,FOLD,INVERSION,115.9,35.1,29.0,1000.0,1762.2
OROCUAL,CARAPITA,VENEZUELA,LATIN AMERICA,COMPRESSION,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,THRUST,91.5,48.8,13.0,35.0,3094.5
OROCUAL,SAN JUAN,VENEZUELA,LATIN AMERICA,COMPRESSION,OIL,CRETACEOUS-PALEOGENE,COASTAL,SANDSTONE,FOLD,THRUST,304.9,198.2,6.0,5.0,3826.2
